instrumentToken|instrumentName|name|lastPrice|expiry|strike|tickSize|lotSize|instrumentType|segment|exchange|isin|multiplier|exchangeToken|OptionType
66164|10JFPL30|Secured Redeemable NCDs - Tranche III - Ser. IX - 10.00% Per Annum.|1175|0|0|0.010000|1|ZZ|-|BSE|INE523H07BB1|1|937147|-
66136|929JFPL23|Secured Redeemable NCDs - Tranche III - Ser. V - 9.29% Monthly coupon.|1021|0|0|0.010000|1|ZZ|-|BSE|INE523H07AY5|1|937139|-
66137|99JFPL25|Secured Redeemable NCDs - Tranche III - Ser. VI - 9.90% Per Annum.|1064|0|0|0.010000|1|ZZ|-|BSE|INE523H07AZ2|1|937141|-
66138|0JFPL25|Secured Redeemable NCDs - Tranche III - Ser. VII - Zero Coupon.|1176|0|0|0.010000|1|ZZ|-|BSE|INE523H07AV1|1|937143|-
66163|948JFPL25|Secured Redeemable NCDs - Tranche III - Ser. VIII - 9.48% Monthly coupon.|1087|0|0|0.010000|1|ZZ|-|BSE|INE523H07BA3|1|937145|-
66165|957JFPL30|Secured Redeemable NCDs - Tranche III - Ser. X - 9.57% Monthly coupon.|1117|0|0|0.010000|1|ZZ|-|BSE|INE523H07BC9|1|937149|-
104026|SRTRANSFIN|Secured Redeemable NCDs - Tranche III - Series I - 9.12% Monthly Coupon.|1019|0|0|0.010000|1|YV|-|BSE|INE721A07OM6|1|936452|-
104027|SRTRANSFIN|Secured Redeemable NCDs - Tranche III - Series II - 9.30% Monthly Coupon.|1043|0|0|0.010000|1|YW|-|BSE|INE721A07ON4|1|936454|-
104028|SRTRANSFIN|Secured Redeemable NCDs - Tranche III - Series III - 9.40% Per Annum.|1064.11|0|0|0.010000|1|YX|-|BSE|INE721A07OO2|1|936456|-
104029|SRTRANSFIN|Secured Redeemable NCDs - Tranche III - Series IV - 9.50% Per Annum.|1083.02|0|0|0.010000|1|YY|-|BSE|INE721A07OP9|1|936458|-
93760|DHANILOANS|Secured Redeemable NCDs - Tranche III - Series IV - 9.81% Monthly Coupon.|985|0|0|0.010000|1|NL|-|BSE|INE614X07241|1|936834|-
93767|DHANILOANS|Secured Redeemable NCDs - Tranche III - Series IX - Zero Coupon.|1102|0|0|0.010000|1|NQ|-|BSE|INE614X07290|1|936844|-
93761|DHANILOANS|Secured Redeemable NCDs - Tranche III - Series V - 10.27% Per Annum.|1009.9|0|0|0.010000|1|NM|-|BSE|INE614X07258|1|936836|-
104030|SRTRANSFIN|Secured Redeemable NCDs - Tranche III - Series V - 9.70% Per Annum.|1100.56|0|0|0.010000|1|YZ|-|BSE|INE721A07OQ7|1|936460|-
104038|0STFCL22A|Secured Redeemable NCDs - Tranche III - Series VI - Zero Coupon.|1279.5|0|0|0.010000|1|ZZ|-|BSE|INE721A07OR5|1|936462|-
93762|DHANILOANS|Secured Redeemable NCDs - Tranche III - Series VI - Zero Coupon.|1154.4|0|0|0.010000|1|NN|-|BSE|INE614X07266|1|936838|-
93765|DHANILOANS|Secured Redeemable NCDs - Tranche III - Series VII - 10.04% Monthly Coupon.|808|0|0|0.010000|1|NO|-|BSE|INE614X07274|1|936840|-
104039|0STFCL24|Secured Redeemable NCDs - Tranche III - Series VII - Zero Coupon.|1290.01|0|0|0.010000|1|ZZ|-|BSE|INE721A07OS3|1|936464|-
93766|DHANILOANS|Secured Redeemable NCDs - Tranche III - Series VIII - 10.52% Per Annum.|1040|0|0|0.010000|1|NP|-|BSE|INE614X07282|1|936842|-
79986|925MFL21AA|Secured Redeemable NCDs - Tranche IV - Option I - 9.25% Monthly coupon.|990.14|0|0|0.010000|1|ZZ|-|BSE|INE414G07EH6|1|937019|-
79987|95MFL23A|Secured Redeemable NCDs - Tranche IV - Option II - 9.50% Monthly coupon.|1022|0|0|0.010000|1|ZZ|-|BSE|INE414G07EI4|1|937021|-
79988|975MFL24BB|Secured Redeemable NCDs - Tranche IV - Option III - 9.75% Monthly coupon.|1050|0|0|0.010000|1|ZZ|-|BSE|INE414G07EJ2|1|937023|-
79989|95MFL21AA|Secured Redeemable NCDs - Tranche IV - Option IV - 9.50% Per Annum.|1142.2|0|0|0.010000|1|ZZ|-|BSE|INE414G07EK0|1|937025|-
79994|0MFL24BB|Secured Redeemable NCDs - Tranche IV - Option IX -Zero Coupon.|1240|0|0|0.010000|1|ZZ|-|BSE|INE414G07EF0|1|937035|-
79990|975MFL23A|Secured Redeemable NCDs - Tranche IV - Option V - 9.75% Per Annum.|1089|0|0|0.010000|1|ZZ|-|BSE|INE414G07EL8|1|937027|-
79991|10MFL24AA|Secured Redeemable NCDs - Tranche IV - Option VI - 10.00% Per Annum.|1127|0|0|0.010000|1|ZZ|-|BSE|INE414G07EM6|1|937029|-
79992|0MFL21BB|Secured Redeemable NCDs - Tranche IV - Option VII -Zero Coupon.|1171|0|0|0.010000|1|ZZ|-|BSE|INE414G07ED5|1|937031|-
79993|0MFL23AA|Secured Redeemable NCDs - Tranche IV - Option VIII -Zero Coupon.|1200|0|0|0.010000|1|ZZ|-|BSE|INE414G07EE3|1|937033|-
79995|0MFL27A|Secured Redeemable NCDs - Tranche IV - Option X -Zero Coupon.|1280|0|0|0.010000|1|ZZ|-|BSE|INE414G07EG8|1|937037|-
19637|1025MMFL22|Secured Redeemable NCDs Option III - 10.25% Monthly coupon.|1050|0|0|0.010000|1|ZZ|-|BSE|INE101Q07490|1|936860|-
73174|875MFL22A|Secured Redeemable NCDs Option III - 8.75% Monthly coupon|996.1|0|0|0.010000|1|ZZ|-|BSE|INE414G07BQ3|1|935950|-
25432|875MFL22|Secured Redeemable NCDs Option III - 8.75% Monthly coupon|1010|0|0|0.010000|1|ZZ|-|BSE|INE414G07CA5|1|936004|-
19640|105MMFL22|Secured Redeemable NCDs Option IV - 10.50% Per Annum.|1069|0|0|0.010000|1|ZZ|-|BSE|INE101Q07508|1|936862|-
66008|IFCI|Secured Redeemable NCDs Option IV - 9.90% Per Annum.|1078.5|0|0|0.010000|1|NF|-|BSE|INE039A07785|1|935317|-
106983|0KFL22D|Secured Redeemable NCDs Option V - Zero Coupon.|1350|0|0|0.010000|1|ZZ|-|BSE|INE403Q07961|1|936304|-
66009|IFCI|Secured Redeemable NCDs Option V - Zero Coupon.|1900|0|0|0.010000|1|NG|-|BSE|INE039A07793|1|935319|-
19651|0MMFL22A|Secured Redeemable NCDs Option V - Zero Coupon.|1195|0|0|0.010000|1|ZZ|-|BSE|INE101Q07516|1|936864|-
106984|1025KFL23|Secured Redeemable NCDs Option VI - 10.25% Per Annum.|1000|0|0|0.010000|1|ZZ|-|BSE|INE403Q07979|1|936306|-
19654|1035MMFL24|Secured Redeemable NCDs Option VI - 10.35% Monthly coupon.|1028|0|0|0.010000|1|ZZ|-|BSE|INE101Q07524|1|936866|-
25435|900MFL22A|Secured Redeemable NCDs Option VI - 9.00% Per Annum.|1044.25|0|0|0.010000|1|ZZ|-|BSE|INE414G07CD9|1|936010|-
73179|9MFL22A|Secured Redeemable NCDs Option VI - 9.00% Per Annum.|1063|0|0|0.010000|1|ZZ|-|BSE|INE414G07BT7|1|935956|-
66010|IFCI|Secured Redeemable NCDs Option VI - 9.90% Per Annum.|1079.99|0|0|0.010000|1|NH|-|BSE|INE039A07801|1|935321|-
13592|0KFL22B|Secured Redeemable NCDs Option VI - Zero Coupon.|1357|0|0|0.010000|1|ZZ|-|BSE|INE403Q07839|1|936094|-
22645|0KFL22C|Secured Redeemable NCDs Option VI - Zero Coupon.|1072.2|0|0|0.010000|1|ZZ|-|BSE|INE403Q07896|1|936164|-
87267|0KFL21C|Secured Redeemable NCDs Option VI - Zero Coupon.|1450|0|0|0.010000|1|ZZ|-|BSE|INE403Q07755|1|936078|-
22646|10KFL23|Secured Redeemable NCDs Option VII - 10.00% Monthly coupon.|1003.89|0|0|0.010000|1|ZZ|-|BSE|INE403Q07904|1|936166|-
16147|10KFL22|Secured Redeemable NCDs Option VII - 10.00% Monthly coupon.|995|0|0|0.010000|1|ZZ|-|BSE|INE403Q07698|1|936034|-
87268|10KFL22A|Secured Redeemable NCDs Option VII - 10.00% Monthly coupon.|995|0|0|0.010000|1|ZZ|-|BSE|INE403Q07763|1|936080|-
74714|1025KFL22|Secured Redeemable NCDs Option VII - 10.25% Monthly coupon.|1000|0|0|0.010000|1|ZZ|-|BSE|INE403Q07615|1|935980|-
19656|1065MMFL24|Secured Redeemable NCDs Option VII - 10.65% Per Annum.|1000|0|0|0.010000|1|ZZ|-|BSE|INE101Q07532|1|936868|-
21839|1115KFL22|Secured Redeemable NCDs Option VII - 11.15% Monthly coupon.|1010|0|0|0.010000|1|ZZ|-|BSE|INE403Q07474|1|935774|-
66011|IFCI|Secured Redeemable NCDs Option VII - Zero Coupon|1870|0|0|0.010000|1|NI|-|BSE|INE039A07819|1|935323|-
74715|0KFL24|Secured Redeemable NCDs Option VIII - Zero Coupon.|1550|0|0|0.010000|1|ZZ|-|BSE|INE403Q07623|1|935982|-
87269|0KFL24B|Secured Redeemable NCDs Option VIII - Zero Coupon.|1325|0|0|0.010000|1|ZZ|-|BSE|INE403Q07771|1|936082|-
22647|0KFL25A|Secured Redeemable NCDs Option VIII - Zero Coupon.|1310|0|0|0.010000|1|ZZ|-|BSE|INE403Q07912|1|936168|-
48822|MFLI24A|Secured Redeemable NCDs Series I - 6.85% Monthly coupon.|975|0|0|0.010000|1|ZZ|-|BSE|INE414G07FQ4|1|937459|-
24043|MFLOI24|Secured Redeemable NCDs Series I - 7.15% Monthly coupon.|975|0|0|0.010000|1|ZZ|-|BSE|INE414G07FD2|1|937309|-
24438|825MFL23A|Secured Redeemable NCDs Series I - 8.25% Monthly coupon.|986|0|0|0.010000|1|ZZ|-|BSE|INE549K07998|1|937435|-
26028|825MFCL23A|Secured Redeemable NCDs Series I - 8.25% Monthly coupon.|976.2|0|0|0.010000|1|ZZ|-|BSE|INE549K07AH9|1|937543|-
16599|825MFL23|Secured Redeemable NCDs Series I - 8.25% Monthly coupon.|981|0|0|0.010000|1|ZZ|-|BSE|INE549K07923|1|937403|-
78660|885MFL23|Secured Redeemable NCDs Series I - 8.85% Monthly coupon.|995|0|0|0.010000|1|ZZ|-|BSE|INE549K07808|1|937291|-
13483|9MMFL22|Secured Redeemable NCDs Series I - 9.00% Monthly coupon.|971|0|0|0.010000|1|ZZ|-|BSE|INE101Q07912|1|937505|-
33936|9MFL22|Secured Redeemable NCDs Series I - 9.00% Monthly coupon.|992|0|0|0.010000|1|ZZ|-|BSE|INE549K07667|1|937243|-
125491|910EFSL24|Secured Redeemable NCDs Series I - 9.10% Per Annum.|988.55|0|0|0.010000|1|ZZ|-|BSE|INE532F07BV4|1|937491|-
26274|925MMFL22|Secured Redeemable NCDs Series I - 9.25% Monthly coupon.|996|0|0|0.010000|1|ZZ|-|BSE|INE101Q07862|1|937421|-
40549|935EFSL24|Secured Redeemable NCDs Series I - 9.35% Per Annum.|1013|0|0|0.010000|1|ZZ|-|BSE|INE532F07BK7|1|937335|-
17144|95MMFL22|Secured Redeemable NCDs Series I - 9.50% Monthly coupon.|990|0|0|0.010000|1|ZZ|-|BSE|INE101Q07722|1|937261|-
48823|MFLII26B|Secured Redeemable NCDs Series II - 7.35% Monthly coupon.|1006.03|0|0|0.010000|1|ZZ|-|BSE|INE414G07FR2|1|937461|-
24044|MFLOII25|Secured Redeemable NCDs Series II - 7.50% Monthly coupon.|990|0|0|0.010000|1|ZZ|-|BSE|INE414G07FE0|1|937311|-
16610|85MFL24|Secured Redeemable NCDs Series II - 8.50% Monthly coupon.|985|0|0|0.010000|1|ZZ|-|BSE|INE549K07931|1|937405|-
26029|850MFCL24B|Secured Redeemable NCDs Series II - 8.50% Monthly coupon.|1005|0|0|0.010000|1|ZZ|-|BSE|INE549K07AI7|1|937545|-
24439|85MFL24A|Secured Redeemable NCDs Series II - 8.50% Monthly coupon.|990|0|0|0.010000|1|ZZ|-|BSE|INE549K07AA4|1|937437|-
78661|9MFL23B|Secured Redeemable NCDs Series II - 9.00% Monthly coupon.|1010|0|0|0.010000|1|ZZ|-|BSE|INE549K07816|1|937293|-
33949|915MFL23|Secured Redeemable NCDs Series II - 9.15% Monthly coupon.|992|0|0|0.010000|1|ZZ|-|BSE|INE549K07675|1|937245|-
13492|925MMFL23|Secured Redeemable NCDs Series II - 9.25% Monthly coupon.|995|0|0|0.010000|1|ZZ|-|BSE|INE101Q07920|1|937507|-
16918|925MFL22|Secured Redeemable NCDs Series II - 9.25% Monthly coupon.|1000|0|0|0.010000|1|ZZ|-|BSE|INE549K07527|1|937097|-
26275|95MMFL23|Secured Redeemable NCDs Series II - 9.50% Monthly coupon.|989|0|0|0.010000|1|ZZ|-|BSE|INE101Q07870|1|937423|-
